"mono_rep1","mono_rep2","mono_rep3","ctrl_rep1","ctrl_rep2","repop_rep1","repop_rep2","repop_rep3"
"Adig",0,0,0,0,0,0,0,0
"Adipoq",0,0,0,0,0,0,0,0
"Adipor1",3550,2203,2428,2074,1986,2854,1891,1710
"Adipor2",1712,930,1069,1079,1117,1873,1055,1013
"Adk",407,196,205,83,87,105,73,73
"Adm",1,0,1,2,1,2,0,0
"Adm2",0,0,0,0,1,0,0,0
"Adnp",1168,542,537,596,772,559,279,520
"Adnp2",290,148,162,177,163,164,89,172
"Ado",354,164,235,213,195,175,126,113
"Adora1",76,40,59,17,17,73,23,35
"Adora2a",6,7,4,13,7,3,2,3
"Adora2b",6,1,4,12,7,2,3,0
"Adora3",59,34,42,2018,2026,2291,931,1312
"Adpgk",495,245,356,349,442,358,181,181
"Adprh",1177,604,802,1862,1825,1043,671,909
"Adprhl1",0,0,0,0,0,0,0,0
"Adprhl2",323,184,218,247,201,237,132,196
"Adprm",138,68,82,105,106,101,88,66
"Adra1a",0,1,0,0,0,0,0,0
"Adra1b",0,0,0,1,1,0,0,0
"Adra1d",0,0,0,0,0,0,0,0
"Adra2a",0,0,1,28,25,4,0,1
"Adra2b",1,0,0,0,0,0,0,0
"Adra2c",0,1,0,0,0,0,0,0
"Adrb1",94,85,59,88,215,168,23,202
"Adrb2",240,166,219,394,503,859,518,813
"Adrb3",0,0,0,0,0,0,0,0
"Adrbk1",3465,1766,2387,1348,1697,1505,1218,1998
"Adrbk2",244,132,143,83,99,67,39,85
"Adrm1",746,403,560,455,489,408,221,524
"Adsl",592,235,364,222,173,215,125,215
"Adss",1121,616,599,465,424,419,309,283
"Adssl1",703,380,485,223,159,221,152,184
"Adtrp",5,7,3,54,39,11,5,11
"Aebp1",2,4,3,3,10,1,0,10
"Aebp2",648,372,469,220,289,366,253,290
"Aen",209,109,133,93,96,127,86,130
"Aes",3035,1448,2201,635,644,909,716,834
"Afap1",32,13,23,13,18,11,12,39
"Afap1l1",67,43,35,80,76,85,48,200
"Afap1l2",0,0,0,0,3,0,1,4
"Aff1",397,284,303,143,287,259,136,423
"Aff2",0,0,0,0,0,0,0,0
"Aff3",0,0,0,0,0,0,1,2
"Aff4",931,554,598,226,336,403,207,586
"Afg3l1",986,467,643,316,287,397,276,363
"Afg3l2",533,295,369,258,250,363,225,258
"Afm",0,0,0,0,0,0,0,0
"Afmid",81,53,46,32,25,32,23,69
"Afp",4,3,3,25,11,35,36,28
"Aftph",929,569,571,929,1214,981,495,771
"Aga",431,210,243,482,404,361,200,225
"Agap1",410,202,282,25,26,32,28,116
"Agap2",162,57,136,51,61,57,37,105
"Agap3",337,162,207,140,158,186,115,204
"Agbl1",0,0,0,0,0,0,0,0
"Agbl2",0,1,0,0,0,0,0,0
"Agbl3",18,7,8,28,24,12,14,20
"Agbl4",0,0,0,0,0,0,0,0
"Agbl5",97,51,58,38,32,54,29,85
"Ager",0,0,2,1,0,0,0,10
"Agfg1",503,276,318,349,423,406,250,235
"Agfg2",206,126,172,121,104,165,105,118
"Aggf1",534,256,301,152,161,259,150,171
"Agk",221,124,156,124,179,140,91,115
"Agl",489,238,233,126,150,229,155,160
"Agmat",0,0,0,0,0,0,0,0
"Agmo",117,85,68,1103,1013,591,288,414
"Agpat1",880,457,617,516,639,673,456,561
"Agpat2",417,216,253,256,227,257,174,136
"Agpat3",1518,892,960,957,1145,1369,839,1009
"Agpat4",84,42,70,76,60,37,37,15
"Agpat5",602,296,311,283,299,339,218,162
"Agpat6",1132,573,732,834,885,890,495,617
"Agpat9",2,0,0,5,15,2,1,0
"Agphd1",14,18,4,27,33,19,7,12
"Agps",2970,1524,1701,1249,1276,1289,925,682
"Agr2",0,0,0,0,0,0,0,0
"Agr3",0,0,0,0,0,0,0,0
"Agrn",170,102,157,108,148,323,155,190
"Agrp",0,0,0,0,0,0,0,0
"Agt",2,3,0,9,2,4,0,5
"Agtpbp1",219,89,125,38,44,56,48,63
"Agtr1a",0,0,0,0,0,0,0,0
"Agtr1b",0,0,1,0,0,0,0,0
"Agtr2",0,0,0,0,0,0,0,0
"Agtrap",476,248,335,238,274,297,161,243
"Agxt",0,0,0,0,0,0,0,0
"Agxt2",0,0,0,0,0,0,0,0
"Agxt2l1",1,1,0,0,5,3,0,1
"Agxt2l2",118,66,78,42,26,32,29,40
"Ahctf1",419,192,241,74,128,133,84,163
"Ahcy",1088,467,754,219,198,224,209,153
"Ahcyl1",1146,591,639,565,622,674,445,551
"Ahcyl2",633,308,419,273,325,293,217,185
"Ahdc1",49,30,37,76,102,86,37,220
"Ahi1",37,33,29,17,13,21,11,15
"Ahnak",81,36,45,31,46,10,5,29
"Ahr",310,182,161,10,9,11,23,2
"Ahrr",21,8,14,8,10,6,4,7
"Ahsa1",1259,631,813,479,607,540,396,430
"Ahsa2",134,35,60,37,83,83,54,43
"Ahsg",0,0,0,0,0,0,0,0
"Aicda",2,0,0,0,0,0,0,0
"Aida",742,404,452,250,264,388,261,145
"Aif1",4996,2831,3323,2316,2012,3742,2377,2346
"Aif1l",0,0,0,5,10,0,1,0
"Aifm1",311,165,208,141,128,175,115,133
"Aifm2",67,44,60,7,7,11,9,5
"Aifm3",2,0,1,5,5,0,0,8
"Aig1",148,74,90,125,109,149,99,84
"Aim1",51,56,41,39,24,59,25,42
"Aim1l",2,4,3,0,0,0,0,0
"Aim2",564,310,302,446,390,530,269,351
"Aimp1",872,463,510,308,275,562,381,318
"Aimp2",367,166,206,218,165,137,115,108
"Aip",1108,510,748,589,597,674,430,568
"Aipl1",7,3,8,2,0,3,2,4
"Aire",0,0,0,0,0,0,0,1
"Airn",0,0,1,0,0,0,0,0
"Ajap1",1,0,0,0,0,0,0,2
"Ajuba",102,55,60,62,90,63,39,74
"Ak1",50,22,42,324,345,472,312,577
"Ak2",1071,621,865,359,375,556,385,406
"Ak3",779,435,472,259,290,405,274,178
"Ak4",4,1,2,2,4,7,4,3
"Ak5",0,1,3,1,0,4,5,3
"Ak7",0,1,0,0,2,0,0,6
"Ak8",58,22,31,1,2,2,4,4
"Akap1",242,142,181,111,79,186,71,115
"Akap10",878,405,448,287,300,412,287,282
"Akap11",536,305,250,250,346,432,256,350
"Akap12",2,2,1,2,2,4,2,23
"Akap13",1948,1128,1349,367,563,918,490,1929
"Akap14",0,0,0,0,0,0,1,0
"Akap17b",20,13,24,12,8,6,2,1
"Akap2",0,2,1,4,8,1,0,8
"Akap3",3,1,1,0,0,0,0,2
"Akap4",0,0,0,0,0,0,0,0
"Akap5",1,6,4,7,11,14,6,27
"Akap6",2,3,8,1,1,15,9,0
"Akap7",83,75,43,67,52,40,24,44
"Akap8",605,376,407,321,329,431,182,550
"Akap8l",105,73,99,88,92,132,75,157
"Akap9",86,25,64,16,11,21,5,161
"Akip1",241,106,154,102,96,118,80,117
"Akirin1",1098,714,626,953,972,1005,687,592
"Akirin2",738,472,490,1392,1346,1262,694,851
"Akna",568,286,529,116,244,229,84,1184
"Aknad1",0,0,0,0,0,0,0,0
"Akp3",0,0,0,0,0,0,0,0
"Akr1a1",13673,6948,9001,4064,3660,7385,5016,4150
"Akr1b10",378,157,247,568,597,490,351,445
"Akr1b3",10,13,12,7,8,9,11,7
"Akr1b7",0,0,0,0,0,0,0,0
"Akr1b8",4,2,3,0,1,1,0,0
"Akr1c12",2,3,6,0,0,0,0,0
"Akr1c13",140,88,84,23,11,13,17,8
"Akr1c14",1,0,0,2,6,0,1,0
"Akr1c18",0,0,0,1,0,0,0,0
"Akr1c19",0,0,0,0,0,0,0,0
"Akr1c20",0,0,0,0,0,0,0,0
"Akr1c21",0,0,0,0,0,0,0,0
"Akr1c6",0,0,0,0,0,0,0,0
"Akr1cl",0,0,0,0,0,0,0,0
"Akr1d1",0,0,0,0,0,0,0,0
"Akr1e1",305,142,165,96,80,124,107,56
"Akr7a5",430,187,265,170,203,195,153,162
"Akt1",3796,1888,2623,1338,1564,1629,1146,1797
"Akt1s1",314,145,228,304,246,201,144,242
"Akt2",1464,773,905,672,672,835,622,626
"Akt3",143,67,76,87,140,291,119,196
"Aktip",284,139,125,130,104,146,114,80
"Alad",220,86,149,97,103,78,57,62
"Alas1",1153,619,719,787,685,801,505,629
"Alas2",1,1,2,1,3,8,0,1
"Alb",0,0,2,5,4,15,13,10
"Alcam",400,214,282,30,23,56,36,16
"Aldh16a1",870,394,579,295,327,414,338,373
"Aldh18a1",801,426,442,293,245,311,177,236
"Aldh1a1",9,2,2,4,6,3,2,5
"Aldh1a2",2,0,1,4,4,0,0,2
"Aldh1a3",0,0,0,0,0,0,0,0
"Aldh1a7",0,0,0,0,0,0,0,0
"Aldh1b1",157,81,87,49,38,26,26,26
"Aldh1l1",16,16,16,5,8,34,12,21
"Aldh1l2",84,52,76,28,34,58,58,37
"Aldh2",3566,1971,2715,616,710,894,745,542
"Aldh3a1",0,1,0,0,0,0,0,0
"Aldh3a2",1022,535,620,902,952,861,545,603
"Aldh3b1",434,235,355,242,208,195,138,169
"Aldh3b2",0,0,0,0,0,0,0,0
"Aldh4a1",356,184,212,187,204,257,184,182
"Aldh5a1",43,22,37,13,13,19,7,23
"Aldh6a1",306,184,177,292,298,310,192,221
"Aldh7a1",273,166,189,166,166,160,99,163
"Aldh8a1",0,0,0,0,0,0,0,0
"Aldh9a1",1896,863,1205,548,508,571,404,339
"Aldoa",6392,3126,5085,3107,2775,3923,3066,2837
"Aldoart1",2,0,1,1,0,1,0,0
"Aldoart2",1,0,0,0,1,0,1,0
"Aldob",0,0,0,0,0,0,0,0
"Aldoc",68,48,51,106,84,47,28,101
"Alg1",454,247,304,492,471,468,269,394
"Alg10b",716,361,334,302,242,360,297,215
"Alg11",235,124,128,233,247,249,161,155
"Alg12",161,73,92,132,132,122,58,90
"Alg13",103,61,88,26,26,68,33,23
"Alg14",143,62,82,82,88,97,69,85
"Alg2",394,220,227,484,486,402,244,283
"Alg3",210,86,152,226,221,215,110,136
"Alg5",811,404,496,691,575,677,383,440
"Alg6",271,174,204,178,140,166,106,51
"Alg8",574,267,367,393,427,346,229,191
"Alg9",583,270,341,420,469,411,269,292
"Alk",0,0,0,0,0,1,0,0
"Alkbh1",105,41,48,69,60,81,27,51
"Alkbh2",87,49,71,44,38,26,20,25
"Alkbh3",222,105,138,148,99,136,87,129
"Alkbh4",85,43,61,81,59,66,36,53
"Alkbh5",1186,586,714,527,494,724,482,484
"Alkbh6",207,127,115,121,109,135,84,135
"Alkbh7",165,79,110,100,108,86,96,47
"Alkbh8",88,58,58,49,42,55,34,28
"Allc",0,0,0,0,0,0,0,0
"Alms1",91,47,61,3,7,8,8,13
"Alms1-ps2",0,0,0,0,0,0,0,0
"Alox12",5,7,5,6,2,4,1,6
"Alox12b",0,0,0,0,0,0,0,0
"Alox12e",0,0,0,6,1,1,1,0
"Alox15",21,18,15,76,30,24,22,18
"Alox5",825,466,611,383,373,400,295,357
"Alox5ap",5795,2995,3710,3987,3325,3842,2824,2416
"Alox8",3,1,4,2,2,1,1,1
"Aloxe3",1,0,0,2,2,2,0,0
"Alpi",0,0,0,0,0,0,0,0
"Alpk1",98,49,57,20,15,28,24,44
"Alpk2",0,0,0,0,0,0,0,0
"Alpk3",0,0,0,0,1,0,0,0
"Alpl",0,3,0,5,5,2,2,6
"Alppl2",0,0,0,0,0,0,0,0
"Als2",320,166,218,79,107,173,88,134
"Als2cl",49,28,47,14,23,10,8,37
"Als2cr11",0,0,0,0,0,0,0,0
"Als2cr12",0,0,0,0,0,1,1,0
"Alx1",0,0,0,0,0,0,0,0
"Alx3",0,0,0,0,1,0,0,0
"Alx4",1,0,0,4,2,2,2,0
"Alyref",385,181,270,81,133,96,48,82
"Alyref2",92,51,58,66,42,49,44,36
"Amacr",246,102,174,65,86,58,64,47
"Ambn",0,0,0,0,0,0,0,0
"Ambp",1,1,1,0,0,0,3,0
"Ambra1",581,298,351,206,277,239,155,361
"Amd1",0,0,0,0,0,0,0,0
"Amd2",0,0,0,0,0,0,0,0
"Amdhd1",3,0,0,2,0,0,0,0
"Amdhd2",720,384,520,173,135,329,282,250
"Amelx",0,0,0,0,0,0,0,0
"Amer1",99,34,47,24,15,31,17,42
"Amer2",43,19,24,6,3,8,1,19
"Amer3",1,3,0,0,0,0,0,0
"Amfr",3111,1728,1917,2882,3150,3109,1882,2112
"Amh",0,0,0,0,0,0,0,0
"Amhr2",0,0,0,0,0,1,0,0
"Amica1",28,13,9,42,27,6,4,1
"Amigo1",85,39,51,79,112,52,21,66
"Amigo2",0,0,0,3,5,2,0,2
"Amigo3",72,29,38,44,29,25,28,24
"Ammecr1",60,35,48,6,10,13,25,18
"Ammecr1l",600,327,394,275,336,378,211,278
"Amn",1,0,0,0,0,0,0,3
"Amn1",62,27,47,64,71,44,27,28
"Amot",7,5,5,1,2,0,0,3
"Amotl1",1,3,13,22,31,30,12,62
"Amotl2",4,2,5,10,10,16,3,11
"Ampd1",0,0,0,0,0,0,0,0
"Ampd2",404,205,276,213,198,165,137,196
"Ampd3",145,75,75,146,198,109,74,141
"Amph",0,1,0,0,1,1,0,0
"Amt",1,2,2,3,4,1,0,2
"Amtn",0,0,0,0,0,0,0,0
"Amy1",0,0,0,2,1,1,0,3
"Amy2a2",0,0,0,0,0,0,0,0
"Amy2a3",0,0,0,0,0,0,0,0
"Amy2a4",0,0,0,0,0,0,0,0
"Amy2a5",0,0,0,0,0,0,0,0
"Amy2b",0,0,0,0,0,0,0,0
"Amz1",1542,738,1126,690,559,983,599,906
"Amz2",478,244,329,182,220,261,184,184
"Anapc1",1765,885,1029,640,772,910,596,494
"Anapc10",229,117,118,144,146,159,115,52
"Anapc11",916,411,675,357,339,445,327,308
"Anapc13",372,198,291,233,181,317,213,226
"Anapc15",274,158,228,56,53,133,97,90
"Anapc16",457,230,268,190,202,239,181,234
"Anapc2",1491,784,1094,984,1083,975,602,872
"Anapc4",639,361,361,332,336,318,280,217
"Anapc5",3116,1555,1953,670,637,985,627,710
"Anapc7",766,378,474,416,397,459,256,405
"Ang",1233,636,816,1259,1166,951,604,760
"Ang2",1,0,0,0,1,0,1,0
"Ang3",0,0,0,0,0,0,0,0
"Ang4",0,0,0,0,0,0,0,0
"Ang5",0,0,0,0,0,0,0,0
"Ang6",0,0,0,0,0,0,0,0
"Angel1",147,89,118,152,177,227,121,179
"Angel2",646,279,388,328,356,406,256,306
"Angpt1",0,1,0,0,0,0,1,0
"Angpt2",1,1,2,1,5,3,4,1
"Angpt4",2,0,6,1,2,0,0,1
"Angptl1",2,0,0,1,0,0,0,0
"Angptl2",23,17,30,4,4,7,5,0
"Angptl3",6,0,1,5,3,3,1,7
"Angptl4",42,18,17,5,8,3,4,2
"Angptl6",13,8,11,10,6,12,4,7
"Angptl7",6,4,6,60,43,5,0,15
"Ank",1512,817,863,642,905,1353,989,1007
"Ank1",6,5,3,0,6,2,3,10
"Ank2",53,20,33,11,24,27,7,101
"Ank3",1,0,1,1,0,1,0,1
"Ankar",0,0,0,0,0,0,0,0
"Ankdd1b",11,9,6,5,18,14,5,9
"Ankef1",0,0,0,0,0,0,0,0
"Ankfn1",0,0,0,0,0,0,0,0
"Ankfy1",2936,1514,1685,1253,1469,1775,1032,1093
"Ankhd1",655,293,368,75,162,230,99,341
"Ankib1",562,276,313,254,334,406,247,293
"Ankk1",0,0,0,0,0,0,0,0
"Ankle1",35,11,26,1,4,3,0,1
"Ankle2",873,506,626,360,448,953,390,767
"Ankmy1",0,1,0,0,0,0,0,0
"Ankmy2",280,125,161,166,138,134,59,138
"Ankra2",149,78,100,169,160,122,121,104
"Ankrd1",0,0,0,0,0,0,0,0
"Ankrd10",379,141,212,275,291,334,138,218
"Ankrd11",239,115,169,47,46,63,35,556
"Ankrd12",73,22,41,11,14,21,11,52
"Ankrd13a",2402,1281,1588,678,787,1348,843,1509
"Ankrd13b",42,19,36,9,8,20,18,28
"Ankrd13c",363,220,214,121,194,203,164,151
"Ankrd13d",47,28,33,19,20,24,17,25
"Ankrd16",56,24,26,32,33,35,24,29
"Ankrd17",759,417,521,109,144,265,177,557
"Ankrd2",0,0,0,0,0,3,0,0
"Ankrd22",4,1,1,25,23,2,1,0
"Ankrd23",5,2,5,1,1,1,0,8
"Ankrd24",30,14,14,10,17,18,9,19
"Ankrd26",43,25,29,9,6,20,6,36
"Ankrd27",400,192,236,146,178,132,96,155
"Ankrd28",223,112,104,57,38,76,39,78
"Ankrd29",0,0,0,2,3,2,4,0
"Ankrd32",125,74,76,46,43,48,26,57
"Ankrd33",0,0,0,0,0,0,0,0
"Ankrd33b",1,0,1,9,19,2,1,7
"Ankrd34a",4,2,1,4,1,0,0,1
"Ankrd34b",0,0,0,0,0,0,0,0
"Ankrd34c",1,0,0,0,0,0,0,0
"Ankrd35",1,0,0,1,2,0,0,0
"Ankrd36",0,0,0,0,0,0,0,0
"Ankrd37",27,6,19,6,13,21,5,9
"Ankrd39",96,41,63,40,33,26,20,29
"Ankrd40",1261,710,846,694,736,801,497,824
"Ankrd42",4,1,4,1,4,3,1,15
"Ankrd44",1137,587,619,871,1238,1066,579,965
"Ankrd45",1,1,1,4,3,1,0,0
"Ankrd46",479,275,248,514,422,383,245,240
"Ankrd49",142,99,80,81,81,67,52,59
"Ankrd50",133,78,78,80,103,114,60,116
"Ankrd52",851,374,476,90,126,273,142,304
"Ankrd53",0,0,0,0,1,0,0,0
"Ankrd54",138,66,123,87,92,86,62,71
"Ankrd55",0,0,0,1,3,1,1,1
"Ankrd6",2,1,0,1,0,0,0,1
"Ankrd60",0,0,0,0,0,0,0,0
"Ankrd61",0,0,0,1,2,0,1,7
"Ankrd63",0,0,0,0,0,0,0,0
"Ankrd66",3,0,2,0,1,0,0,0
"Ankrd7",0,0,0,0,0,0,0,0
"Ankrd9",40,11,29,10,5,6,5,0
"Anks1",548,289,390,180,247,282,168,461
"Anks1b",0,2,3,1,5,5,1,2
"Anks3",56,36,64,35,35,35,30,91
"Anks4b",0,0,0,0,0,0,0,0
"Anks6",129,88,108,63,103,71,50,142
"Ankzf1",90,43,59,58,72,59,52,74
"Anln",860,424,553,31,24,49,45,21
"Ano1",0,1,0,1,0,0,1,1
"Ano10",486,272,365,527,489,584,323,343
"Ano2",0,0,0,0,0,0,0,0
"Ano3",0,0,0,0,1,1,0,0
"Ano4",0,0,0,0,0,0,0,0
"Ano5",0,0,0,0,0,0,0,0
"Ano6",1280,762,798,637,810,850,501,619
"Ano7",10,4,10,25,29,10,7,18
"Ano8",95,47,81,39,54,71,33,99
"Ano9",0,0,0,0,0,0,0,0
"Anp32a",2206,1153,1408,849,981,1104,690,933
"Anp32b",3512,1718,2519,498,490,913,729,608
"Anp32e",3584,1616,2231,899,1014,1216,829,756
"Anpep",97,66,78,10,18,25,20,22
"Antxr1",6,4,8,1,2,3,0,3
"Antxr2",800,526,488,71,63,213,155,72
"Antxrl",0,0,0,0,0,0,0,0
"Anxa1",319,201,231,645,717,122,92,32
"Anxa10",0,0,0,0,0,0,0,0
"Anxa11",713,361,507,311,311,256,171,266
"Anxa13",0,2,0,0,0,0,0,0
"Anxa2",1394,644,876,562,426,293,296,91
"Anxa3",3671,1703,2196,2942,3438,3108,2060,1899
"Anxa4",1246,753,838,417,446,715,489,311
"Anxa5",5930,3206,3781,661,551,1449,1139,455
"Anxa6",1729,932,1291,584,641,1017,540,803
"Anxa7",1360,723,923,749,674,751,462,427
"Anxa8",0,2,3,2,0,0,2,0
"Anxa9",24,21,20,4,6,12,9,3
"Aoah",561,477,402,41,84,106,103,15
"Aoc2",9,7,1,3,2,2,3,7
"Aoc3",0,1,0,0,3,0,2,2
"Aox1",0,0,3,0,2,1,0,1
"Aox3",0,0,0,0,0,0,0,0
"Aox3l1",0,0,0,0,0,0,0,0
"Aox4",0,0,1,0,0,0,0,0
"Ap1ar",384,203,237,127,178,241,173,144
"Ap1b1",1557,916,1034,973,1198,1239,723,1370
"Ap1g1",1571,797,858,1030,1156,996,654,687
"Ap1g2",334,181,269,89,81,106,64,103
"Ap1m1",1016,509,696,619,618,533,422,435
"Ap1m2",3,0,2,0,0,0,0,0
"Ap1s1",1117,607,761,336,339,428,308,320
"Ap1s2",1284,768,719,406,434,759,568,242
"Ap1s3",131,50,74,37,33,23,19,19
"Ap2a1",839,490,590,310,388,465,244,509
"Ap2a2",1871,935,1187,415,470,503,364,495
"Ap2b1",3605,1897,2281,1460,1781,2183,1361,1420
"Ap2m1",4026,2015,2676,1778,2144,2545,1718,2045
"Ap2s1",1645,767,1108,574,477,750,617,522
"Ap3b1",1279,712,937,417,495,687,459,785
"Ap3b2",2,1,5,2,2,0,0,0
"Ap3d1",1343,649,830,178,317,375,278,763
"Ap3m1",1224,616,631,736,647,621,414,429
"Ap3m2",238,130,146,265,344,305,106,232
"Ap3s1",675,482,457,448,435,487,429,169
"Ap3s2",641,350,418,376,337,368,255,278
"Ap4b1",210,124,153,168,160,161,114,157
"Ap4e1",238,140,160,101,120,153,83,154
"Ap4m1",175,89,105,46,52,102,65,91
"Ap4s1",217,117,128,137,141,127,103,77
"Ap5b1",299,118,162,164,145,122,97,141
"Ap5m1",219,156,135,192,176,178,139,110
"Ap5s1",230,120,123,188,157,117,108,117
"Ap5z1",222,123,170,66,88,70,58,145
"Apaf1",864,464,462,212,219,385,268,165
"Apba1",128,81,102,74,131,113,71,209
"Apba2",0,0,1,2,0,0,0,1
"Apba3",212,118,164,127,143,117,97,116
"Apbb1",25,20,18,46,76,19,10,42
"Apbb1ip",2995,1451,1722,2161,2458,1708,1023,2124
"Apbb2",163,106,104,76,87,109,45,139
"Apbb3",29,15,25,47,38,28,18,44
"Apc",294,179,208,51,80,92,45,530
"Apc2",2,1,4,0,6,4,0,5
"Apcdd1",7,1,4,4,20,1,1,23
"Apcs",0,0,0,0,0,0,0,0
"Apeh",699,376,503,414,413,444,328,373
"Apex1",307,145,207,133,145,135,97,142
"Apex2",97,52,82,74,57,71,32,38
"Aph1a",3620,1877,2348,2134,2271,2769,1856,1926
"Aph1b",123,77,75,42,40,16,19,7
"Aph1c",244,142,151,36,36,44,58,13
"Api5",2115,1039,1116,1070,1238,1221,775,733
"Apip",247,134,178,134,134,134,100,80
"Apitd1",88,49,90,21,14,11,4,7
"Aplf",59,37,47,31,41,24,23,23
"Apln",6,2,4,10,6,2,4,8
"Aplnr",0,1,2,17,15,3,0,4
"Aplp1",50,15,34,15,32,28,19,44
"Aplp2",2250,1515,1563,842,968,1530,1088,1092
"Apmap",953,571,611,658,616,792,521,420
"Apoa1",0,0,0,0,0,0,0,0
"Apoa1bp",857,433,622,549,470,468,354,373
"Apoa2",5,3,1,1,1,2,3,2
"Apoa4",0,0,0,0,0,0,0,0
"Apoa5",0,0,0,0,0,0,0,0
"Apob",1,0,0,4,8,1,3,3
"Apobec1",3721,2120,2230,355,315,752,840,372
"Apobec2",1,0,0,24,40,10,2,11
"Apobec3",1368,697,836,513,354,758,452,313
"Apobec4",0,0,0,0,0,0,0,0
"Apobr",731,353,563,85,166,155,96,325
"Apoc1",34,22,32,11,9,70,68,10
"Apoc2",272,141,204,42,28,67,107,18
"Apoc3",0,0,0,0,0,0,0,0
"Apoc4",22,23,20,0,1,24,23,0
"Apod",18,16,17,26,41,13,15,26
"Apoe",93402,82440,91625,2072,3354,11591,11622,14675
"Apof",1,0,0,0,1,1,1,0
"Apoh",0,0,0,0,0,0,1,2
"Apol10a",0,0,0,1,0,0,0,0
"Apol10b",2,0,0,0,0,0,0,1
"Apol11a",0,0,0,0,0,0,0,0
"Apol11b",0,0,0,0,0,3,0,0
"Apol6",0,1,0,1,0,0,0,0
"Apol7a",0,0,0,0,0,0,0,0
"Apol7b",0,0,0,0,0,0,0,0
"Apol7c",0,0,0,3,3,0,1,0
"Apol7d",0,0,0,0,0,0,0,0
"Apol7e",6,0,0,0,0,0,0,0
"Apol8",0,0,0,0,0,0,0,0
"Apol9a",0,0,0,1,0,0,0,0
"Apol9b",2,0,1,3,0,0,0,0
"Apold1",13,11,12,1,10,36,26,7
"Apom",0,0,0,0,0,1,0,0
"Apon",1,0,1,1,0,1,1,0
"Apoo",50,19,11,20,15,18,18,16
"Apoo-ps",0,0,0,0,0,0,0,0
"Apool",238,118,139,93,99,131,84,65
"Apopt1",358,180,228,156,125,159,103,128
"App",7134,4308,5210,1549,1943,3748,2499,3338
"Appbp2",325,130,233,182,195,267,139,179
"Appl1",643,366,355,325,401,313,243,231
"Appl2",261,156,163,254,257,197,138,255
"Aprt",1021,521,818,331,294,497,413,237
"Aptx",182,96,114,80,81,120,60,91
"Aqp1",9,1,4,6,22,8,5,10
"Aqp11",5,4,6,7,9,3,7,0
"Aqp12",0,0,0,0,0,0,0,0
"Aqp2",0,0,0,0,0,0,0,0
"Aqp3",1,1,0,1,0,1,0,0
"Aqp4",5,2,7,4,8,10,0,6
"Aqp5",0,0,0,0,0,0,0,0
"Aqp6",0,0,0,0,0,0,0,0
"Aqp7",0,0,0,0,0,0,0,0
"Aqp8",0,0,0,0,0,0,0,0
"Aqp9",45,30,25,14,19,1,2,0
"Aqr",864,448,549,358,441,466,278,408
"Ar",1,0,0,0,0,0,0,0
"Araf",441,266,355,354,334,369,236,377
"Arap1",2440,1354,1835,989,1175,1437,862,1401
"Arap2",35,16,10,31,46,31,13,37
"Arap3",1355,639,881,680,916,717,519,1158
"Arc",3,5,1,2,3,1,0,0
"Arcn1",3151,1570,1772,1406,1576,1734,1120,1062
"Areg",0,1,0,0,0,0,0,0
"Arf1",6193,3130,3993,4421,4480,4334,2982,3114
"Arf2",630,417,394,842,757,642,393,537
"Arf3",3419,1719,2206,1727,1982,2503,1706,1736
"Arf4",3242,1820,1791,2900,2590,2528,1721,965
"Arf5",1460,716,959,753,738,854,663,578
"Arf6",2694,1366,1698,1412,1460,1322,1030,1104
"Arfgap1",369,213,304,337,358,276,216,323
"Arfgap2",1333,708,845,1169,1202,1088,599,883
"Arfgap3",312,180,224,130,150,169,111,109
"Arfgef1",769,423,446,218,289,399,243,364
"Arfgef2",665,348,419,93,121,207,116,305
"Arfip1",566,281,338,482,519,478,312,281
"Arfip2",213,104,126,83,115,120,82,63
"Arfrp1",295,144,201,293,252,249,188,186
"Arg1",4,0,3,5,1,3,16,1
"Arg2",4,0,1,8,8,1,0,0
"Arglu1",242,112,165,90,120,194,55,90
"Arhgap1",1169,586,720,646,796,643,495,634
"Arhgap10",67,49,53,4,3,13,13,10
"Arhgap11a",668,326,433,98,170,268,122,292
"Arhgap12",488,272,290,563,577,411,255,408
"Arhgap15",1620,892,907,70,67,228,196,64
"Arhgap17",1021,558,699,457,571,452,233,746
"Arhgap18",564,341,332,69,81,90,82,125
"Arhgap19",2488,1499,1498,206,215,616,651,220
"Arhgap20",0,0,0,1,0,0,1,0
"Arhgap21",169,84,121,28,41,33,21,120
"Arhgap22",542,259,331,356,482,313,216,446
"Arhgap23",71,50,48,16,27,19,10,31
"Arhgap24",252,127,170,52,47,86,78,116
"Arhgap25",1052,639,712,641,803,711,368,1106
"Arhgap26",47,23,27,39,30,14,10,24
"Arhgap27",1868,995,1454,1129,1257,1030,571,1646
"Arhgap28",2,0,3,1,1,0,0,0
"Arhgap29",25,12,12,73,97,77,45,73
"Arhgap30",2364,1260,1587,427,657,948,510,1047
"Arhgap31",328,201,225,145,224,245,106,631
"Arhgap32",9,7,4,40,59,46,15,110
"Arhgap33",13,10,11,3,4,1,2,10
"Arhgap36",0,0,0,0,0,0,0,0
"Arhgap39",473,245,307,288,436,425,241,657
"Arhgap4",1145,582,767,438,466,579,293,961
"Arhgap40",0,0,0,1,0,0,0,0
"Arhgap42",1,0,0,0,1,0,0,0
"Arhgap44",3,2,1,0,1,1,1,2
"Arhgap5",1091,660,515,1985,2037,2456,1394,1776
